time	V(n003)	V(n006)
2.325718692146588e-006	1.530031e+001	1.543824e+001
2.333531192146588e-006	1.529075e+001	1.543328e+001
2.349156192146589e-006	1.527212e+001	1.542290e+001
2.364781192146589e-006	1.525413e+001	1.541198e+001
2.380406192146589e-006	1.523681e+001	1.540060e+001
2.396031192146590e-006	1.522015e+001	1.538883e+001
2.411656192146590e-006	1.520414e+001	1.537676e+001
2.419468692146590e-006	1.519639e+001	1.537063e+001
2.427281192146591e-006	1.518880e+001	1.536444e+001
2.435093692146591e-006	1.518137e+001	1.535821e+001
2.442906192146591e-006	1.517411e+001	1.535193e+001
2.450718692146591e-006	1.516701e+001	1.534563e+001
2.458531192146591e-006	1.516007e+001	1.533930e+001
2.466343692146591e-006	1.515329e+001	1.533296e+001
2.474156192146592e-006	1.514667e+001	1.532660e+001
2.481968692146592e-006	1.514021e+001	1.532023e+001
2.489781192146592e-006	1.513391e+001	1.531387e+001
2.497593692146592e-006	1.512776e+001	1.530751e+001
2.505406192146592e-006	1.512177e+001	1.530116e+001
2.513218692146593e-006	1.511592e+001	1.529482e+001
2.521031192146593e-006	1.511023e+001	1.528850e+001
2.528843692146593e-006	1.510469e+001	1.528221e+001
2.536656192146593e-006	1.509930e+001	1.527595e+001
2.544468692146593e-006	1.509405e+001	1.526972e+001
2.552281192146594e-006	1.508895e+001	1.526353e+001
2.560093692146594e-006	1.508399e+001	1.525737e+001
2.567906192146594e-006	1.507917e+001	1.525126e+001
2.575718692146594e-006	1.507449e+001	1.524520e+001
2.583531192146594e-006	1.506995e+001	1.523919e+001
2.591343692146595e-006	1.506554e+001	1.523323e+001
2.599156192146595e-006	1.506126e+001	1.522733e+001
2.606968692146595e-006	1.505712e+001	1.522149e+001
2.614781192146595e-006	1.505310e+001	1.521570e+001
2.622593692146595e-006	1.504921e+001	1.520999e+001
2.638218692146596e-006	1.504180e+001	1.519875e+001
2.653843692146596e-006	1.503487e+001	1.518779e+001
2.669468692146596e-006	1.502841e+001	1.517712e+001
2.685093692146597e-006	1.502239e+001	1.516675e+001
2.708531192146597e-006	1.501416e+001	1.515179e+001
2.731968692146598e-006	1.500684e+001	1.513756e+001
2.755406192146599e-006	1.500037e+001	1.512406e+001
2.771031192146599e-006	1.499650e+001	1.511548e+001
2.786656192146599e-006	1.499297e+001	1.510723e+001
2.802281192146600e-006	1.498975e+001	1.509931e+001
2.817906192146600e-006	1.498684e+001	1.509173e+001
2.825718692146600e-006	1.498549e+001	1.508806e+001
2.833531192146600e-006	1.498422e+001	1.508447e+001
2.841343692146601e-006	1.498301e+001	1.508097e+001
2.849156192146601e-006	1.498187e+001	1.507754e+001
2.856968692146601e-006	1.498079e+001	1.507420e+001
2.864781192146601e-006	1.497977e+001	1.507094e+001
2.880406192146602e-006	1.497792e+001	1.506465e+001
2.896031192146602e-006	1.497630e+001	1.505867e+001
2.911656192146602e-006	1.497489e+001	1.505299e+001
2.927281192146603e-006	1.497369e+001	1.504761e+001
2.950718692146603e-006	1.497223e+001	1.504009e+001
2.974156192146604e-006	1.497115e+001	1.503320e+001
2.997593692146604e-006	1.497042e+001	1.502692e+001
3.021031192146605e-006	1.497000e+001	1.502121e+001
3.044468692146606e-006	1.496991e+001	1.501611e+001
3.067906192146606e-006	1.497000e+001	1.501147e+001
3.091343692146607e-006	1.497026e+001	1.500726e+001
3.114781192146607e-006	1.497068e+001	1.500350e+001
3.138218692146608e-006	1.497128e+001	1.500018e+001
3.161656192146608e-006	1.497205e+001	1.499731e+001
3.185093692146609e-006	1.497299e+001	1.499489e+001
3.208531192146610e-006	1.497396e+001	1.499273e+001
3.231968692146610e-006	1.497500e+001	1.499089e+001
3.255406192146611e-006	1.497610e+001	1.498935e+001
3.278843692146611e-006	1.497724e+001	1.498807e+001
