time	V(n003)	V(n006)
2.715809856314222e-006	1.509690e+001	1.511180e+001
2.723622356314222e-006	1.509406e+001	1.511141e+001
2.731434856314222e-006	1.509129e+001	1.511096e+001
2.739247356314222e-006	1.508857e+001	1.511045e+001
2.747059856314223e-006	1.508590e+001	1.510989e+001
2.754872356314223e-006	1.508330e+001	1.510928e+001
2.762684856314223e-006	1.508075e+001	1.510862e+001
2.770497356314223e-006	1.507826e+001	1.510792e+001
2.778309856314223e-006	1.507582e+001	1.510717e+001
2.786122356314224e-006	1.507344e+001	1.510638e+001
2.793934856314224e-006	1.507111e+001	1.510556e+001
2.801747356314224e-006	1.506884e+001	1.510470e+001
2.809559856314224e-006	1.506661e+001	1.510381e+001
2.817372356314224e-006	1.506444e+001	1.510288e+001
2.825184856314224e-006	1.506232e+001	1.510193e+001
2.840809856314225e-006	1.505823e+001	1.509994e+001
2.856434856314225e-006	1.505433e+001	1.509786e+001
2.872059856314226e-006	1.505061e+001	1.509569e+001
2.887684856314226e-006	1.504708e+001	1.509345e+001
2.903309856314226e-006	1.504373e+001	1.509116e+001
2.918934856314227e-006	1.504054e+001	1.508882e+001
2.926747356314227e-006	1.503901e+001	1.508764e+001
2.934559856314227e-006	1.503751e+001	1.508644e+001
2.942372356314227e-006	1.503606e+001	1.508524e+001
2.950184856314228e-006	1.503465e+001	1.508404e+001
2.957997356314228e-006	1.503327e+001	1.508283e+001
2.965809856314228e-006	1.503193e+001	1.508162e+001
2.973622356314228e-006	1.503063e+001	1.508040e+001
2.981434856314228e-006	1.502936e+001	1.507918e+001
2.989247356314228e-006	1.502813e+001	1.507797e+001
2.997059856314229e-006	1.502693e+001	1.507675e+001
3.004872356314229e-006	1.502577e+001	1.507553e+001
3.012684856314229e-006	1.502464e+001	1.507432e+001
3.020497356314229e-006	1.502354e+001	1.507310e+001
3.028309856314229e-006	1.502248e+001	1.507189e+001
3.036122356314230e-006	1.502144e+001	1.507069e+001
3.043934856314230e-006	1.502044e+001	1.506948e+001
3.051747356314230e-006	1.501946e+001	1.506829e+001
3.059559856314230e-006	1.501852e+001	1.506710e+001
3.067372356314230e-006	1.501760e+001	1.506591e+001
3.075184856314231e-006	1.501671e+001	1.506474e+001
3.082997356314231e-006	1.501585e+001	1.506357e+001
3.090809856314231e-006	1.501501e+001	1.506240e+001
3.098622356314231e-006	1.501420e+001	1.506125e+001
3.106434856314231e-006	1.501342e+001	1.506010e+001
3.114247356314232e-006	1.501266e+001	1.505897e+001
3.122059856314232e-006	1.501193e+001	1.505784e+001
3.129872356314232e-006	1.501122e+001	1.505672e+001
3.137684856314232e-006	1.501053e+001	1.505562e+001
3.145497356314232e-006	1.500986e+001	1.505452e+001
3.161122356314233e-006	1.500860e+001	1.505236e+001
3.176747356314233e-006	1.500742e+001	1.505024e+001
3.192372356314233e-006	1.500632e+001	1.504817e+001
3.207997356314234e-006	1.500530e+001	1.504615e+001
3.231434856314234e-006	1.500390e+001	1.504321e+001
3.254872356314235e-006	1.500266e+001	1.504039e+001
3.278309856314235e-006	1.500155e+001	1.503768e+001
3.301747356314236e-006	1.500057e+001	1.503509e+001
3.325184856314237e-006	1.499973e+001	1.503262e+001
3.348622356314237e-006	1.499898e+001	1.503027e+001
3.372059856314238e-006	1.499832e+001	1.502803e+001
3.395497356314238e-006	1.499774e+001	1.502590e+001
3.418934856314239e-006	1.499725e+001	1.502389e+001
3.442372356314239e-006	1.499685e+001	1.502199e+001
3.465809856314240e-006	1.499654e+001	1.502021e+001
3.493711642028527e-006	1.499624e+001	1.501823e+001
3.521613427742813e-006	1.499600e+001	1.501638e+001
3.549515213457099e-006	1.499582e+001	1.501466e+001
3.577416999171386e-006	1.499569e+001	1.501307e+001
3.605318784885672e-006	1.499562e+001	1.501160e+001
3.633220570599959e-006	1.499560e+001	1.501027e+001
3.661122356314245e-006	1.499564e+001	1.500906e+001
3.696836642028532e-006	1.499574e+001	1.500767e+001
3.732550927742818e-006	1.499585e+001	1.500642e+001
3.768265213457105e-006	1.499599e+001	1.500529e+001
3.803979499171391e-006	1.499615e+001	1.500429e+001
3.839693784885678e-006	1.499633e+001	1.500343e+001
